x,Curve1
1751.55,62.949
1743.84,60.24
1730.09,57.772
1716.28,55.307
1702.3,52.851
1688.31,50.396
1674.33,47.94
1660.34,45.485
1646.36,43.029
1632.37,40.574
1618.39,38.118
1604.4,35.663
1590.42,33.207
1576.43,30.752
1562.45,28.296
1548.46,25.841
1534.47,23.385
1520.49,20.93
1506.5,18.475
1492.52,16.019
1478.53,13.564
1464.55,11.108
1450.56,8.653
1436.58,6.197
1422.59,3.742
1408.07,1.317
1393.32,-1.094
1378.57,-3.505
1363.82,-5.916
1349.06,-8.328
1334.31,-10.739
1319.56,-13.15
1304.81,-15.561
1289.98,-17.967
1272.16,-20.166
1254.34,-22.365
1238.05,-24.675
1222.16,-27.015
1204.46,-29.212
1184.97,-31.267
1164.98,-33.272
1143.85,-35.162
1122.72,-37.052
1101.97,-38.982
1081.28,-40.92
1060.59,-42.857
1038.34,-44.604
1015.08,-46.231
991.83,-47.857
968.57,-49.484
945.32,-51.11
921.26,-52.611
896.41,-53.986
871.56,-55.361
846.71,-56.736
821.48,-58.037
795.55,-59.199
769.62,-60.362
743.69,-61.525
717.76,-62.687
691.83,-63.85
665.69,-64.961
639.01,-65.943
612.34,-66.925
585.66,-67.908
558.98,-68.89
532.02,-69.789
504.88,-70.637
477.74,-71.485
450.61,-72.333
423.47,-73.181
396.33,-74.029
369.19,-74.877
342.05,-75.725
314.91,-76.573
287.75,-77.411
260.04,-78.052
232.34,-78.694
204.63,-79.336
176.93,-79.977
149.22,-80.619
121.51,-81.26
93.81,-81.902
66.1,-82.544
38.32,-83.15
10.48,-83.732
-17.36,-84.313
-45.2,-84.894
-73.04,-85.476
-100.88,-86.057
-128.71,-86.638
-156.55,-87.219
-184.39,-87.801
-212.23,-88.382
-240.07,-88.963
-267.91,-89.545
-295.93,-90.026
-324.04,-90.46
-352.15,-90.894
-380.26,-91.327
-408.37,-91.761
-436.48,-92.194
-464.59,-92.628
-492.69,-93.061
-520.8,-93.495
-548.91,-93.929
-577.02,-94.362
-605.13,-94.796
-633.29,-95.194
-661.46,-95.589
-689.62,-95.985
-717.79,-96.38
-745.95,-96.776
-774.12,-97.172
-802.28,-97.567
-830.45,-97.963
-858.61,-98.358
-886.78,-98.754
-914.94,-99.149
-943.1,-99.553
-971.25,-99.958
-999.4,-100.363
-1027.55,-100.768
-1055.7,-101.174
-1083.85,-101.579
-1112,-101.984
-1140.16,-102.389
-1168.31,-102.794
-1196.46,-103.199
-1224.61,-103.604
-1252.77,-104.001
